label; rows; cols; delay; boomerang; x; y; mustcomplete;
starblaster_star_a_idle; 1; 5; .08f; 1; 0.f; 0.f; 0;
starblaster_star_b_idle; 1; 5; .08f; 1; 0.f; 0.f; 0;
starblaster_star_a_shoot; 1; 3; .2f; 0; 0.f; 0.f; 1;
starblaster_star_b_shoot; 1; 3; .2f; 0; 0.f; 0.f; 1;

starblaster_ordinal_idle; 1; 1; 1.f; 0; -20.f; -20.f; 0;
starblaster_ordinal_rotate; 1; 5; .06f; 0; -20.f; -20.f; 1;
starblaster_ordinal_shoot; 1; 4; .1f; 0; 0.f; 0.f; 1;
starblaster_ordinal_shoot_vfx; 2; 7; .06f; 0; -120.f; -120.f; 1;

starblaster_cardinal_idle; 1; 1; 1.f; 0; -20.f; -20.f; 0;
starblaster_cardinal_rotate; 1; 5; .06f; 0; -20.f; -20.f; 1;
starblaster_cardinal_shoot; 1; 4; .1f; 0; 0.f; 0.f; 1;
starblaster_cardinal_shoot_vfx; 2; 7; .06f; 0; -120.f; -120.f; 1;

cannon_ball; 1; 1; 1.f; 0; 0.f; 0.f; 0;
cannon_death; 4; 5; 0.015f; 0; -60.f; -25.f; 1;
